物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型
大冈兴隆,盐都区,865386_81,320931,14594315,865386,81,YC_YD_ZX_大冈兴隆_FL9_B_1,81,406,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_盐都冈中二_FL9,120.151951,33.227551,792,120,1,1,宏站,1
射阳电子信息产业园,射阳县,865630_41,320938,14595854,865630,41,YC_SY_ZX_射阳电子信息产业园_FL9_A_1,41,120,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳县_虹亚名居33号楼_滴灌型_FL9,120.188265,33.783514,480,50,1,1,宏站,1
射阳电子信息产业园,射阳县,865630_51,320938,14595854,865630,51,YC_SY_ZX_射阳电子信息产业园_FL9_B_1,51,121,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳县_虹亚名居33号楼_滴灌型_FL9,120.188265,33.783514,484,130,1,1,宏站,1
射阳电子信息产业园,射阳县,865630_61,320938,14595854,865630,61,YC_SY_ZX_射阳电子信息产业园_FL9_C_1,61,122,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳县_虹亚名居33号楼_滴灌型_FL9,120.188265,33.783514,488,240,1,1,宏站,1
东台市弶港镇前哨村,东台市,865739_41,320933,14594661,865739,41,YC_DT_ZX_东台市弶港镇前哨村_FL9_A_1,41,444,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台林场BBU1_FL9,120.819504,32.846512,112,0,1,1,宏站,1
东台市弶港镇前哨村,东台市,865739_51,320933,14594661,865739,51,YC_DT_ZX_东台市弶港镇前哨村_FL9_BC_1,51,445,20922,8,909.5,954.5,10(50RB)[3],YC_DT_ZX_东台林场BBU1_FL9,120.819504,32.846512,116,120,1,1,宏站,1
射阳县临海八顷,射阳县,865729_21,320938,14595928,865729,21,YC_SY_ZX_射阳县临海八顷_FL9_BA_1,21,409,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳中五BBU1_FL9,120.283258,34.017267,804,120,1,1,宏站,1
射阳县临海八顷,射阳县,865729_31,320938,14595928,865729,31,YC_SY_ZX_射阳县临海八顷_FL9_C_1,31,410,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳中五BBU1_FL9,120.283258,34.017267,808,240,1,1,宏站,1
恒东村美丽乡村回迁房,建湖县,865471_11,320939,14596106,865471,11,YC_JH_ZX_建湖恒东村美丽乡村回迁房_FL9_A_1,11,48,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_建湖恒东村美丽乡村回迁房_FL9,119.671691,33.363081,0,0,1,1,宏站,1
恒东村美丽乡村回迁房,建湖县,865471_31,320939,14596106,865471,31,YC_JH_ZX_建湖恒东村美丽乡村回迁房_FL9_CB_1,31,50,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_建湖恒东村美丽乡村回迁房_FL9,119.671691,33.363081,14,240,1,1,宏站,1
射阳县_射阳兴桥友谊村_宏站型,射阳县,865761_41,320938,14595862,865761,41,YC_SY_ZX_射阳县射阳兴桥友谊村_FL9_A_1,41,402,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.224421,33.636349,776,0,1,1,宏站,1
射阳县_射阳兴桥友谊村_宏站型,射阳县,865761_51,320938,14595862,865761,51,YC_SY_ZX_射阳县射阳兴桥友谊村_FL9_CB_1,51,404,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.224421,33.636349,784,240,1,1,宏站,1
亭湖区_青墩才堂村_宏站型,亭湖区,864317_41,320932,14594072,864317,41,YC_TH_ZX_青墩才堂村_FL9_A_1,41,168,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL9,120.154191,33.508421,21,0,1,1,宏站,1
亭湖区_青墩才堂村_宏站型,亭湖区,864317_51,320932,14594072,864317,51,YC_TH_ZX_青墩才堂村_FL9_B_1,51,169,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL9,120.154191,33.508421,28,120,1,1,宏站,1
亭湖区_青墩才堂村_宏站型,亭湖区,864317_61,320932,14594072,864317,61,YC_TH_ZX_青墩才堂村_FL9_C_3,61,170,20914,8,909.5,954.5,10(50RB)[3],YC_TH_ZX_青墩地龙村_FL9,120.154191,33.508421,35,240,1,1,宏站,1
